name,status,nvar,nvar_bin,nvar_int,nvar_cont,ncons,nnz,group,obj,tags
bley_xl1,easy,5831,5831,0,0,175620,869391,bley_x,190,binary numerics aggregations variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary
bley_xs1,open,3243,2360,883,0,3290,25762,bley_x,3940855.469999999*,numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear
bley_xs1noM,open,3243,2360,883,0,3290,25762,bley_x,3873690.77*,numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear
bley_xs2,easy,2515,1632,883,0,2257,20861,bley_x,1051266.38,numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear
blp-ar98,easy,16021,15806,0,215,1128,200601,blp,6205.2147104,benchmark decomposition benchmark_suitable variable_bound set_packing equation_knapsack mixed_binary general_linear
blp-ic97,easy,9845,9753,0,92,923,118149,blp,4025.0235808,decomposition benchmark_suitable set_packing mixed_binary general_linear
blp-ic98,easy,13640,13550,0,90,717,191947,blp,4491.44758395,benchmark decomposition benchmark_suitable set_packing mixed_binary general_linear
blp-ir98,easy,6097,6031,0,66,486,79152,blp,2342.315488,decomposition benchmark_suitable set_packing equation_knapsack mixed_binary general_linear
bmocbd,easy,404875,125752,0,279123,153324,1277334,bmocbd,-32041010095050,decomposition numerics aggregations variable_bound set_packing mixed_binary
bmocbd2,easy,403771,125467,0,278304,152791,1274240,bmocbd,-31953010000000,decomposition numerics aggregations variable_bound set_packing mixed_binary
bmocbd3,open,403771,125467,0,278304,152791,1274240,bmocbd,-372986719.737107*,numerics aggregations variable_bound set_packing mixed_binary
bmoipr2,easy,20503,8434,0,12069,13897,54649,--,-46416168.2981393,decomposition numerics aggregations variable_bound set_packing mixed_binary
bnatt400,easy,3600,3600,0,0,5614,21698,bnatt,1,benchmark binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack
bnatt500,hard,4500,4500,0,0,7029,27203,bnatt,Infeasible,benchmark infeasible binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack
bppc4-08,easy,1456,1454,0,2,111,23964,bppc,53,benchmark benchmark_suitable set_partitioning mixed_binary
bppc6-02,open,4784,4782,0,2,309,188143,bppc,116*,set_partitioning mixed_binary
bppc6-06,open,3922,3920,0,2,273,181510,bppc,208*,set_partitioning mixed_binary
bppc8-02,easy,232,229,1,2,59,4387,bppc,507,aggregations set_partitioning mixed_binary
bppc8-09,easy,431,423,6,2,67,9051,bppc,472,benchmark_suitable set_partitioning mixed_binary
brasil,easy,6612,3306,0,3306,3364,13224,--,13655,decomposition benchmark_suitable variable_bound mixed_binary
brazil3,easy,23968,23874,94,0,14646,133184,timetabling,24,benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear
breastcancer-regularized,easy,715,692,14,9,723,8283,ustun,35.7678421052631,numerics variable_bound general_linear
bts4-cta,open,75400,2260,0,73140,45350,291904,cta,472243.4174959*,decomposition numerics variable_bound mixed_binary
buildingenergy,easy,154978,0,26287,128691,277594,788969,--,33283.853236,benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear
cap6000,easy,6000,6000,0,0,2176,48243,--,-2451377,binary decomposition aggregations precedence variable_bound set_partitioning set_packing knapsack
cbs-cta,easy,24793,2467,0,22326,10112,64388,cta,0,benchmark decomposition benchmark_suitable variable_bound mixed_binary
cdc7-4-3-2,open,11811,11811,0,0,14478,259842,--,-289.0*,binary set_packing
cdma,open,7891,4235,0,3656,9095,168227,--,-2.48e+16*,numerics aggregations variable_bound set_packing invariant_knapsack binpacking mixed_binary
chromaticindex1024-7,easy,73728,73728,0,0,67583,270324,chromaticindex,4,benchmark binary benchmark_suitable set_partitioning set_packing
chromaticindex128-5,easy,9216,9216,0,0,8447,33780,chromaticindex,4,binary benchmark_suitable set_partitioning set_packing
chromaticindex256-8,easy,18432,18432,0,0,16895,67572,chromaticindex,4,binary benchmark_suitable set_partitioning set_packing
chromaticindex32-8,easy,2304,2304,0,0,2111,8436,chromaticindex,4,binary benchmark_suitable set_partitioning set_packing
chromaticindex512-7,easy,36864,36864,0,0,33791,135156,chromaticindex,4,benchmark binary benchmark_suitable set_partitioning set_packing
ci-s4,easy,745,355,150,240,26159,129124,--,3336.23984845,decomposition benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear
circ10-3,open,2700,2700,0,0,42620,307320,--,280*,binary decomposition precedence variable_bound set_partitioning set_packing invariant_knapsack knapsack mixed_binary
cmflsp40-24-10-7,hard,13200,1200,0,12000,2825,127736,cmflsp,51664409.2721,precedence variable_bound mixed_binary
cmflsp40-36-2-10,open,28152,1512,0,26640,4266,386432,cmflsp,66456407.51812819*,precedence variable_bound mixed_binary
cmflsp50-24-10-4,easy,16440,1440,0,15000,3527,159605,cmflsp,58988866.7484,numerics precedence variable_bound mixed_binary
cmflsp50-24-8-8,easy,16392,1392,0,15000,3520,158622,cmflsp,55789389.886,benchmark benchmark_suitable precedence variable_bound mixed_binary
cmflsp60-36-2-6,open,42192,2232,0,39960,6388,581335,cmflsp,73891245.38458699*,precedence variable_bound mixed_binary
CMS750_4,easy,11697,7196,0,4501,16381,44903,--,252,benchmark benchmark_suitable precedence invariant_knapsack mixed_binary
co-100,easy,48417,48417,0,0,2187,1995817,--,2639942.06,benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking knapsack
cod105,easy,1024,1024,0,0,1024,57344,--,-12,benchmark binary benchmark_suitable set_packing
comp07-2idx,easy,17264,17155,109,0,21235,86577,coursetimetabling,6,benchmark decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear
comp08-2idx,easy,11554,11487,67,0,12536,51608,coursetimetabling,37,decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear
comp12-2idx,open,11863,11820,43,0,16803,73677,coursetimetabling,291*,decomposition precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear
comp16-3idx,hard,64193,56745,14,7434,71594,347276,coursetimetabling,18,decomposition aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary general_linear
comp21-2idx,hard,10863,10792,71,0,14038,57301,coursetimetabling,74,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear
control20-5-10-5,easy,1310,100,0,1210,2430,14710,control,406205618311810,decomposition numerics variable_bound set_partitioning mixed_binary
control30-3-2-3,easy,332,90,0,242,512,1472,control,-17.25658927192,decomposition numerics variable_bound set_partitioning mixed_binary
control30-5-10-4,easy,1960,150,0,1810,3640,21460,control,Infeasible,infeasible decomposition numerics variable_bound set_partitioning mixed_binary
core2536-691,easy,15293,15284,0,9,2539,177739,core,689,binary benchmark_suitable variable_bound set_covering invariant_knapsack
core2586-950,open,13226,13215,0,11,2589,104678,core,946*,binary variable_bound set_covering invariant_knapsack
core4284-1064,open,21714,21705,0,9,4287,245121,core,1063.0*,binary variable_bound set_covering invariant_knapsack
core4872-1529,open,24656,24645,0,11,4875,218762,core,1530.0*,binary variable_bound set_covering invariant_knapsack
cost266-UUE,easy,4161,171,0,3990,1446,12312,network_design,25148940.56,benchmark decomposition benchmark_suitable aggregations set_packing mixed_binary
cryptanalysiskb128n5obj14,hard,48950,47830,1120,0,98021,292875,cryptanalysis,Infeasible,benchmark infeasible feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear
cryptanalysiskb128n5obj16,easy,48950,47830,1120,0,98021,292875,cryptanalysis,0,benchmark feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear
csched007,easy,1758,1457,0,301,351,6379,csched,350.999999999995,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear
csched008,easy,1536,1284,0,252,351,5687,csched,173,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear
csched010,easy,1758,1457,0,301,351,6376,csched,407.999999999994,benchmark_suitable aggregations variable_bound set_partitioning general_linear
cvrpa-n64k9vrpi,open,312726,48192,2259,262275,550111,1064702,vrp,2042.0*,indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear
cvrpb-n45k5vrpi,open,153202,23625,1575,128002,268835,519556,pb-,775*,indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear
cvrpp-n16k8vrpi,open,18294,2832,531,14931,31615,60544,vrp,450*,indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear
cvrpsimple2i,easy,4166,648,243,3275,7023,13248,vrp,34,indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear
cvs08r139-94,easy,1864,1864,0,0,2398,6456,cvs,-116,binary decomposition benchmark_suitable precedence set_packing invariant_knapsack
cvs16r106-72,easy,2848,2848,0,0,3608,9888,cvs,-81,binary decomposition benchmark_suitable precedence set_packing invariant_knapsack
cvs16r128-89,easy,3472,3472,0,0,4633,12528,cvs,-97,benchmark binary decomposition benchmark_suitable precedence set_packing invariant_knapsack
cvs16r70-62,easy,2112,2112,0,0,3278,8512,cvs,-42,binary decomposition benchmark_suitable precedence set_packing invariant_knapsack
cvs16r89-60,easy,2384,2384,0,0,3068,8368,cvs,-65,binary decomposition benchmark_suitable precedence set_packing invariant_knapsack
d20200,open,4000,4000,0,0,1502,189389,--,12240*,binary decomposition set_partitioning invariant_knapsack knapsack
dale-cta,easy,37951,4923,0,33028,20097,105440,cta,0,decomposition numerics variable_bound mixed_binary
dano3_3,easy,13873,69,0,13804,3202,79655,dano,576.34463303,benchmark benchmark_suitable variable_bound cardinality mixed_binary
dano3_5,easy,13873,115,0,13758,3202,79655,dano,576.924915956562,benchmark benchmark_suitable variable_bound cardinality mixed_binary
dano3mip,open,13873,552,0,13321,3202,79655,dano,664.0208333333334*,variable_bound cardinality mixed_binary
danoint,easy,521,56,0,465,664,3232,dano,65.6666666666,benchmark_suitable variable_bound cardinality mixed_binary
datt256,open,262144,262144,0,0,11077,1503732,--,NA,no_solution binary set_partitioning cardinality
dc1c,hard,10039,8380,0,1659,1649,121158,--,1767903.6501,mixed_binary general_linear
dc1l,open,37297,35638,0,1659,1653,448754,--,1759050.4901*,mixed_binary general_linear
dcmulti,easy,548,75,0,473,290,1315,--,188182,decomposition precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary
decomp1,easy,10735,10735,0,0,8357,47889,--,-120,binary decomposition precedence set_partitioning set_packing invariant_knapsack binpacking mixed_binary
decomp2,easy,14387,14387,0,0,10765,64073,--,-160,benchmark binary decomposition benchmark_suitable precedence set_partitioning set_packing invariant_knapsack binpacking mixed_binary
dell,easy,626,105,0,521,500,4580,--,Infeasible,infeasible aggregations precedence variable_bound mixed_binary
dfn-bwin-DBE,open,3285,2475,0,810,235,9855,network_design,73623.79*,set_packing mixed_binary
dg012142,hard,2080,640,0,1440,6310,14795,--,2300867,aggregations precedence variable_bound mixed_binary
diameterc-mstc-v20a190d5i,easy,10613,5053,4352,1208,19686,38503,diameterc,414,indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear
diameterc-msts-v40a100d5i,easy,14629,5611,5304,3714,21131,40288,diameterc,729,indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear
disctom,easy,10000,10000,0,0,399,30000,--,-5000,binary set_partitioning cardinality
dlr1,open,9142907,0,124217,9018690,1735470,18365107,--,2708148.95990256*,aggregations precedence variable_bound invariant_knapsack mixed_binary general_linear
dlr2,open,38868107,0,532697,38335410,7132926,78091589,--,143561683710*,numerics aggregations precedence variable_bound mixed_binary general_linear
dolom1,hard,11612,9720,0,1892,1803,190413,--,6609253,mixed_binary general_linear
drayage-100-12,easy,11090,11025,0,65,4630,41550,drayage,94941.5891075,benchmark_suitable precedence set_partitioning mixed_binary
drayage-100-23,easy,11090,11025,0,65,4630,41550,drayage,103333.87407,benchmark benchmark_suitable precedence set_partitioning mixed_binary
drayage-25-23,easy,11090,11025,0,65,4630,41550,drayage,101282.647018,benchmark benchmark_suitable precedence set_partitioning mixed_binary
drayage-25-27,easy,11090,11025,0,65,4630,41550,drayage,102183.505325,benchmark_suitable precedence set_partitioning mixed_binary
drayage-25-32,easy,11090,11025,0,65,4630,41550,drayage,91395.84915,benchmark_suitable precedence set_partitioning mixed_binary
ds,hard,67732,67732,0,0,656,1024059,--,93.52,binary set_partitioning
ds-big,open,174997,174997,0,0,1042,4623442,--,195.498997075249*,binary set_partitioning
dsbmip,easy,1886,192,0,1694,1182,7366,--,-305.19817501,aggregations precedence variable_bound set_partitioning mixed_binary
dws008-01,hard,11096,6608,0,4488,6064,56400,dws,37412.6045879451,benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing mixed_binary
dws008-03,hard,32280,18928,0,13352,16344,165168,dws,62831.7633546923,decomposition precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary
dws012-01,open,26148,15576,0,10572,14280,132936,dws,82030.55222223999*,decomposition precedence variable_bound set_partitioning set_packing mixed_binary
dws012-02,open,51108,30096,0,21012,26382,261120,dws,126211.9341071*,aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary
dws012-03,open,76068,44616,0,31452,38484,389304,dws,140473.60932083728*,precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary
eil33-2,easy,4516,4516,0,0,32,44243,eil,934.007915999999,benchmark binary benchmark_suitable set_partitioning
eilA101-2,easy,65832,65832,0,0,100,959373,eil,880.920108,benchmark binary benchmark_suitable set_partitioning
eilC76-2,easy,28599,28599,0,0,75,314837,eil,762.514781999996,binary benchmark_suitable set_partitioning
ej,easy,3,0,3,0,1,3,--,25508,numerics general_linear
elitserienhandball11i,hard,32679,16944,6952,8783,35580,99071,elitserienhandball,3,indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear
elitserienhandball13i,hard,32791,16976,6976,8839,35758,99381,elitserienhandball,5,indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear
elitserienhandball14i,hard,32541,16938,6938,8665,35328,98685,elitserienhandball,2,indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear
elitserienhandball3i,hard,32807,16966,6973,8868,35804,99434,elitserienhandball,4,indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear
enlight11,easy,242,121,121,0,121,682,enlight,Infeasible,infeasible equation_knapsack general_linear
enlight4,easy,32,16,16,0,16,80,enlight,Infeasible,infeasible equation_knapsack general_linear
enlight8,easy,128,64,64,0,64,352,enlight,27,equation_knapsack general_linear
enlight9,easy,162,81,81,0,81,450,enlight,Infeasible,infeasible equation_knapsack general_linear
enlight_hard,easy,200,100,100,0,100,560,enlight,37,benchmark benchmark_suitable equation_knapsack general_linear
eva1aprime5x5opt,open,1712,400,0,1312,11929,57162,evaprime,-17.52487708854096*,aggregations variable_bound set_packing mixed_binary
eva1aprime6x6opt,open,3514,836,0,2678,34872,161558,evaprime,-12.885929039705424*,aggregations variable_bound set_packing mixed_binary
ex10,easy,17680,0,17680,0,69608,1162000,--,100,benchmark binary benchmark_suitable precedence set_partitioning invariant_knapsack
ex1010-pi,open,25200,25200,0,0,1468,102114,--,235*,binary set_covering
ex9,easy,10404,0,10404,0,40962,517112,--,81,benchmark binary benchmark_suitable precedence set_partitioning invariant_knapsack
exp-1-500-5-5,easy,990,250,0,740,550,1980,exp_and_fc,65887,benchmark benchmark_suitable variable_bound set_packing mixed_binary
f2000,open,4000,4000,0,0,10500,29500,--,1810.0*,binary variable_bound set_covering
f2gap201600,easy,1600,1600,0,0,20,3200,f2gap,76453,binary mixed_binary
f2gap401600,easy,1600,1600,0,0,40,3200,f2gap,82306.9999999945,binary mixed_binary
f2gap40400,easy,400,400,0,0,40,800,f2gap,20771.9999999998,binary knapsack mixed_binary
f2gap801600,easy,1600,1600,0,0,80,3200,f2gap,86678.999982707,binary knapsack mixed_binary
fast0507,easy,63009,63009,0,0,507,409349,--,174,benchmark binary benchmark_suitable variable_bound set_covering
fastxgemm-n2r6s0t2,easy,784,48,0,736,5998,19376,fastxgemm,230,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear
fastxgemm-n2r7s4t1,easy,904,56,0,848,6972,22584,fastxgemm,42,decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear
fastxgemm-n3r21s3t6,open,18684,378,0,18306,219368,718146,fastxgemm,4110.99800117485*,decomposition variable_bound set_partitioning set_covering mixed_binary general_linear
fastxgemm-n3r22s4t6,open,19539,396,0,19143,229742,752274,fastxgemm,3101.998498499999*,decomposition variable_bound set_partitioning set_covering mixed_binary general_linear
fastxgemm-n3r23s5t6,open,20394,414,0,19980,240116,786402,fastxgemm,3089.997998*,decomposition variable_bound set_partitioning set_covering mixed_binary general_linear
fhnw-binpack4-18,easy,520,481,0,39,650,2392,binpack,Infeasible,infeasible feasibility benchmark_suitable invariant_knapsack mixed_binary
fhnw-binpack4-4,hard,520,481,0,39,620,2332,binpack,Infeasible,benchmark infeasible feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary
fhnw-binpack4-48,hard,3710,3605,0,105,4480,17290,binpack,0,benchmark feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary
fhnw-binpack4-58,open,7550,7400,0,150,9900,35750,binpack,NA,no_solution feasibility precedence variable_bound invariant_knapsack mixed_binary
fhnw-binpack4-77,open,3924,3816,0,108,4922,17726,binpack,NA,no_solution feasibility precedence variable_bound invariant_knapsack mixed_binary
fhnw-binschedule0,open,319319,316270,3048,1,58085,1382972,fhnw-bin,16122.0*,decomposition variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear
fhnw-binschedule1,open,1141653,1137008,4644,1,772872,8611326,fhnw-bin,55198.0*,variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear
fhnw-binschedule2,open,30973,30504,468,1,6503,134640,fhnw-bin,2428*,decomposition variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear
fhnw-schedule-paira100,open,5150,5050,0,100,10000,29873,schedule,-15.1131226682367*,variable_bound mixed_binary
